"","GHCND.ID","EVENTS.begin_date","EVENTS.ID","EVENTS.begin_time_UTC","EVENTS.end_date","EVENTS.end_time_UTC","EVENTS.state","EVENTS.fips","EVENTS.type","EVENTS.czfips","EVENTS.czname","EVENTS.WFO","EVENTS.flood_cause","EVENTS.hurricane_category","EVENTS.tornado_F_scale","EVENTS.begin_lat","EVENTS.begin_lon","EVENTS.end_lat","EVENTS.end_lon","EVENTS.damage_value","EVENTS.damage_magnitude","EVENTS.damage_unit","GHCND.name","GHCND.lat","GHCND.lon","GHCND.dist_from_event.km","MOS.ICAO","MOS.name","MOS.lat","MOS.lon","MOS.st","MOS.dist_from_event.km","GHCND.prcp_cat","Q24.f2","Q24.f6","judge1","judge2"
"26","US10polk013",2014-06-11,519645,"1200",2014-06-12,"1200","KANSAS",20,"Heavy Rain",163,"ROOKS","GID","",NA,"",39.3487,-99.1,39.3487,-99.1,0,3,"USD","OSCEOLA 6.9 N",41.2372,-97.5614,4.85360726854895,"KHYS","HAYS",38.85,-99.27,"KS",57.4247445360313,0,"  1","  0",-1,0
"27","US10polk019",2014-08-22,536139,"0300",2014-08-23,"0000","MICHIGAN",26,"Heavy Rain",103,"MARQUETTE","MQT","",NA,"",46.25,-88.01,46.25,-88.01,0,3,"USD","GRESHAM 6.9 NW",41.1065,-97.484,6.01070830930323,"KSAW","GWINN",46.35,-87.4,"MI",48.2167811387491,3,"  1","  0",2,3
"28","US10scot020",2014-04-12,500508,"1200",2014-04-14,"1200","IOWA",19,"Heavy Rain",29,"CASS","DMX","",NA,"",41.25,-94.77,41.25,-94.77,0,3,"USD","SCOTTSBLUFF 6.6 NE",41.935,-103.5792,0.794754803098543,"KAIO","ATLANTIC",41.4,-95.05,"IA",28.7529301382169,0,"  0","  0",0,0
"29","US10siou005",2014-04-12,500512,"1200",2014-04-14,"1200","IOWA",19,"Heavy Rain",75,"GRUNDY","DMX","",NA,"",42.36,-92.77,42.36,-92.77,0,3,"USD","HARRISON 23.7 SSE",42.3579,-103.7547,4.77217907367,"KMIW","MARSHALLTOWN ARPT",42.11,-92.92,"IA",30.4523530175461,0,"  0","  0",0,0
"30","US10webs019",2014-06-26,514591,"1815",2014-06-26,"1815","IOWA",19,"Heavy Rain",49,"DALLAS","DMX","",NA,"",41.8,-93.94,41.8,-93.94,0,3,"USD","BLUE HILL 5.0 SW",40.2799,-98.5158,1.44912354009397,"KBNW","BOONE_MUNI",42.05,-93.85,"IA",28.810864680976,0,"  0","  1",0,-1
"31","US1ALCT0012",2014-08-23,529366,"1200",2014-08-23,"1200","IOWA",19,"Heavy Rain",1,"ADAIR","DMX","",NA,"",41.3,-94.46,41.3,-94.46,0,3,"USD","CHEROKEE 5.9 SW",34.6854,-88.0248,10.844219706814,"KCSQ","CRESTON",41.02,-94.37,"IA",32.0691364902712,0,"  2","  4",-2,-4
"32","US1AZMR0042",2014-09-10,533196,"1300",2014-09-10,"1300","IOWA",19,"Heavy Rain",181,"WARREN","DMX","",NA,"",41.4,-93.79,41.4,-93.79,0,3,"USD","SURPRISE 1.3 ESE",33.6546,-112.4481,2.7410440493385,"KDSM","DES MOINES",41.53,-93.65,"IA",18.5960814356786,1,"  3","  2",-2,-1
"33","US1AZMR0075",2014-09-09,533173,"0240",2014-09-09,"0240","IOWA",19,"Heavy Rain",29,"CASS","DMX","",NA,"",41.4,-95.01,41.4,-95.01,0,3,"USD","GILBERT 3.8 NW",33.3741,-111.8053,1.56484924281382,"KAIO","ATLANTIC",41.4,-95.05,"IA",3.340079262722,2,"  0","  1",2,1
"34","US1AZMR0088",2014-08-08,536173,"0300",2014-08-09,"1200","NEBRASKA",31,"Heavy Rain",19,"BUFFALO","GID","",NA,"",40.78,-99.16,40.78,-99.16,0,3,"USD","PHOENIX 10.0 NW",33.5827,-112.1413,0.323478974956701,"KEAR","KEARNEY",40.73,-99,"NE",14.5950609832006,0,"  0","  3",0,-3
"35","US1AZMR0103",2014-09-27,538698,"1300",2014-09-30,"0459","FLORIDA",12,"Heavy Rain",81,"MANATEE","TBW","",NA,"",27.43,-82.415,27.43,-82.415,0,3,"USD","SUN CITY 1.2 NNW",33.6321,-112.2903,3.7788615219769,"KSRQ","SARASOTA-BRADENTON",27.4,-82.55,"FL",13.7520523037629,0,"  4","  3",-4,-3
"36","US1AZMR0244",2014-06-16,519156,"0700",2014-06-19,"1100","MONTANA",30,"Heavy Rain",29,"FLATHEAD","MSO","",NA,"",48.32,-114.25,48.32,-114.25,0,3,"USD","SCOTTSDALE 1.0 SW",33.4919,-111.9044,3.15109712209055,"KGPI","KALISPELL",48.3,-114.27,"MT",2.6738543382595,0,"  1","  1",-1,-1
"37","US1AZMR0274",2014-09-10,533197,"1300",2014-09-10,"1300","IOWA",19,"Heavy Rain",123,"MAHASKA","DMX","",NA,"",41.31,-92.64,41.31,-92.64,0,3,"USD","CAVE CREEK 4.2 SW",33.78,-111.9915,4.44995810884202,"KPEA","PELLA MUNI AP",41.4,-92.95,"IA",27.7734971397273,1,"  2","  2",-1,-1
"38","US1AZMR0291",2014-09-08,543462,"1000",2014-09-09,"1200","NORTH CAROLINA",37,"Heavy Rain",29,"CAMDEN","AKQ","",NA,"",36.45,-76.33,36.45,-76.33,0,3,"USD","PEORIA 1.3 NNE",33.5979,-112.2246,3.83585796310733,"KCPK","CHESAPEAKE",36.66,-76.32,"VA",23.3941893501557,6,"  4","  1",2,5
"39","US1AZPN0007",2014-07-14,530676,"1837",2014-07-14,"1937","MONTANA",30,"Heavy Rain",77,"POWELL","MSO","",NA,"",47.13,-113.15,47.13,-113.15,0,3,"USD","QUEEN CREEK 5.1 SE",33.1991,-111.5699,8.0579709267558,"KMSO","MISSOULA",46.92,-114.08,"MT",74.3428057893948,1,"  0","  0",1,1
"40","US1AZPN0025",2014-09-08,543458,"1000",2014-09-09,"1200","VIRGINIA",51,"Heavy Rain",183,"SUSSEX","AKQ","",NA,"",36.97,-76.98,36.97,-76.98,0,3,"USD","FLORENCE 9.1 NW",33.108,-111.5072,6.06941089885925,"KAKQ","WAKEFIELD",36.98,-77,"VA",2.09829184616749,5,"  3","  1",2,4
"41","US1CAMP0006",2014-12-23,550653,"1200",2014-12-24,"1200","GEORGIA",13,"Heavy Rain",21,"BIBB","FFC","",NA,"",32.7,-83.65,32.7,-83.65,0,3,"USD","MARIPOSA 12.5 E",37.4623,-119.7403,0.856610223903417,"KMCN","MACON",32.7,-83.65,"GA",0,1,"  1","  0",0,1
"42","US1CASF0004",2014-08-01,540732,"0701",2014-08-31,"0800","IDAHO",16,"Heavy Rain",37,"CUSTER","PIH","",NA,"",44.27,-114.73,43.92,-113.62,3000,3,"USD","SAN FRANCISCO 1.1 SW",37.765,-122.4348,3.55475035164475,"KSNT","STANLEY RANGER STN.",44.17,-114.93,"ID",19.4552731290125,0,"  0","  0",0,0
"43","US1CASN0089",2014-08-23,529353,"1030",2014-08-23,"1030","IOWA",19,"Heavy Rain",173,"TAYLOR","DMX","",NA,"",40.73,-94.9,40.73,-94.9,0,3,"USD","HEALDSBURG 12.6 NNW",38.7839,-122.9628,2.45317645994895,"KICL","CLARINDA",40.72,-95.03,"IA",11.0235978291768,0,"  2","  4",-2,-4
"44","US1CATL0005",2014-03-21,500322,"1641",2014-03-21,"1922","HAWAII",15,"Heavy Rain",9,"MAUI","HFO","",NA,"",20.9051,-156.3876,20.7947,-156.0381,0,3,"USD","VISALIA 0.7 SSE",36.3153,-119.3176,12.7795021594872,"PHOG","KAHULUI/MAUI",20.9,-156.43,"HI",4.44571933341864,0,"  0","  2",0,-2
"45","US1CATL0005",2014-03-23,500330,"0611",2014-03-24,"1043","HAWAII",15,"Heavy Rain",1,"HAWAII","HFO","",NA,"",19.7186,-155.1509,19.6808,-155.0047,0,3,"USD","VISALIA 0.7 SSE",36.3153,-119.3176,12.7795021594872,"PHTO","HILO/GEN.LYMAN FL",19.72,-155.07,"HI",8.47905456502538,0,"  4","  5",-4,-5
"46","US1CATL0005",2014-08-23,529411,"1200",2014-08-23,"1200","IOWA",19,"Heavy Rain",81,"HANCOCK","DMX","",NA,"",42.93,-93.79,42.93,-93.79,0,3,"USD","VISALIA 0.7 SSE",36.3153,-119.3176,10.9877780877279,"KCAV","CLARION",42.75,-93.77,"IA",20.1039008385581,0,"  1","  4",-1,-4
"47","US1CODN0112",2014-09-10,533216,"1445",2014-09-10,"1445","IOWA",19,"Heavy Rain",7,"APPANOOSE","DMX","",NA,"",40.69,-92.77,40.69,-92.77,0,3,"USD","DENVER 0.2 NNW (BOTANIC GARDEN",39.731,-104.9635,0.319291961112008,"KOTM","OTTUMWA",41.1,-92.45,"IA",52.9921197300947,2,"  2","  2",0,0
"48","US1COLP0041",2014-07-16,538462,"1300",2014-07-17,"1300","KANSAS",20,"Heavy Rain",57,"FORD","DDC","",NA,"",37.69,-99.71,37.69,-99.71,0,3,"USD","DURANGO 0.7 NNE",37.2952,-107.866,4.96079887016357,"KDDC","DODGE CITY",37.77,-99.97,"KS",24.5624484885486,0,"  0","  3",0,-3
"49","US1FLMA0003",2014-05-27,524118,"0400",2014-05-27,"0400","PENNSYLVANIA",42,"Heavy Rain",125,"WASHINGTON","PBZ","",NA,"",40.28,-80.09,40.28,-80.09,0,3,"USD","PALMETTO 1.2 W",27.5237,-82.5975,5.31369958393141,"KAGC","ALLEGHENY CO. ARPT",40.35,-79.93,"PA",15.6576908737728,1,"  0","  0",1,1
"50","US1FLMA0004",2014-08-01,527528,"0300",2014-08-01,"0530","ARIZONA",4,"Heavy Rain",13,"MARICOPA","PSR","",NA,"",33.58,-112.14,33.58,-112.14,0,3,"USD","WIMAUMA 10.8 SE",27.5969,-82.1895,0.100559448772767,"KDVT","DEER VLY/PHOENIX",33.69,-112.07,"AZ",13.8576673237737,0,"  0","  0",0,0
"51","US1FLMA0006",2014-06-18,520322,"0549",2014-06-18,"0727","HAWAII",15,"Heavy Rain",1,"HAWAII","HFO","",NA,"",19.7584,-156.0416,19.4591,-155.8713,0,3,"USD","ELLENTON 6.6 E",27.54,-82.422,0,"PHKO","KONA/KEAHOLE",19.65,-156,"HI",12.830453744459,0,"  0","  0",0,0
"52","US1FLMA0010",2014-06-21,520324,"0442",2014-06-21,"0632","HAWAII",15,"Heavy Rain",1,"HAWAII","HFO","",NA,"",20.0381,-155.8274,19.9116,-155.7724,0,3,"USD","BRADENTON 10.8 SE",27.4309,-82.4152,0.102003468749223,"PHSF","BRADSHAW AAF",19.78,-155.55,"HI",40.8472811180708,2,"  0","  0",2,2
"53","US1FLMA0016",2014-05-15,523697,"1900",2014-05-16,"2200","VIRGINIA",51,"Heavy Rain",550,"CHESAPEAKE (C)","AKQ","",NA,"",36.7934,-76.4069,36.7934,-76.4069,0,3,"USD","PALMETTO 5.8 NNE",27.5957,-82.5318,0.0111194926645684,"KCPK","CHESAPEAKE",36.66,-76.32,"VA",16.7522665280694,4,"  0","  0",4,4
"54","US1FLPT0008",2014-12-23,550655,"1200",2014-12-24,"1200","GEORGIA",13,"Heavy Rain",235,"PULASKI","FFC","",NA,"",32.28,-83.47,32.28,-83.47,0,3,"USD","EAST PALATKA 3.5 NNW",29.6962,-81.6264,6.07690162722107,"KWRB","ROBINS AFB",32.63,-83.6,"GA",40.8305969808601,1,"  1","  0",0,1
"55","US1FLSS0010",2014-05-15,523696,"1900",2014-05-16,"2200","VIRGINIA",51,"Heavy Rain",7,"AMELIA","AKQ","",NA,"",37.2205,-77.7443,37.2205,-77.7443,0,3,"USD","SARASOTA 5.8 SE",27.261,-82.4885,0,"KPTB","PETERSBURG",37.18,-77.52,"VA",20.3930528837836,3,"  0","  3",3,0
"56","US1FLSW0001",2014-08-09,526221,"0221",2014-08-09,"0321","SOUTH CAROLINA",45,"Heavy Rain",79,"RICHLAND","CAE","",NA,"",33.99,-81.02,33.99,-81.02,0,3,"USD","LIVE OAK 0.4 NE",30.2985,-82.9818,1.23009968741694,"KCUB","COLUMBIA-OWENS ARPT.",33.97,-80.99,"SC",3.5532794178658,0,"  0","  0",0,0
"57","US1GAHY0014",2014-08-23,529369,"1200",2014-08-23,"1200","IOWA",19,"Heavy Rain",127,"MARSHALL","DMX","",NA,"",42.06,-92.92,42.06,-92.92,0,3,"USD","JENKINSBURG 1.0 WNW",33.3308,-84.0499,0,"KMIW","MARSHALLTOWN ARPT",42.11,-92.92,"IA",5.56597453966333,0,"  2","  4",-2,-4
"58","US1GAHY0018",2014-08-29,531334,"1200",2014-08-29,"1200","IOWA",19,"Heavy Rain",169,"STORY","DMX","",NA,"",42.04,-93.63,42.04,-93.63,0,3,"USD","MCDONOUGH 7.5 NE",33.5404,-84.0708,0,"KAMW","AMES_MUNI ARPT",41.99,-93.62,"IA",5.62708780908769,0,"  6","  1",-6,-1
"59","US1GALR0001",2014-08-23,529362,"1331",2014-08-23,"1331","IOWA",19,"Heavy Rain",33,"CERRO GORDO","DMX","",NA,"",43.16,-93.33,43.16,-93.33,0,3,"USD","DUBLIN 6.3 SW",32.4642,-82.9861,0,"KMCW","MASON CITY",43.15,-93.33,"IA",1.11319490793267,0,"  1","  3",-1,-3
"60","US1HIHI0006",2014-09-08,543437,"1000",2014-09-09,"1200","VIRGINIA",51,"Heavy Rain",131,"NORTHAMPTON","AKQ","",NA,"",37.27,-76.02,37.27,-76.02,0,3,"USD","KALAOA 1.7 E",19.7238,-155.9926,4.45010518211551,"KLFI","LANGLEY AFB",37.08,-76.35,"VA",36.1125305015119,0,"  3","  1",-3,-1
"61","US1HIHI0014",2014-11-24,544891,"1224",2014-11-24,"1425","HAWAII",15,"Heavy Rain",7,"KAUAI","HFO","",NA,"",22.1557,-159.3141,22.1353,-159.6562,0,3,"USD","HONOMU 2.8 SW",19.8494,-155.15,0.0667169559870565,"PHLI","LIHUE",21.98,-159.35,"HI",19.9063959828638,0,"  0","  1",0,-1
"62","US1HIHN0002",2014-08-12,537920,"0000",2014-08-12,"0200","ARIZONA",4,"Heavy Rain",13,"MARICOPA","PSR","",NA,"",33.4803,-112.0299,33.4803,-112.0299,200,3,"USD","LAIE 0.2 WNW",21.65,-157.9287,1.68064728541223,"KPHX","PHOENIX",33.43,-112.02,"AZ",5.67436116846242,0,"  0","  1",0,-1
"63","US1HIHN0002",2014-09-06,533142,"0000",2014-09-06,"0300","ARIZONA",4,"Heavy Rain",21,"PINAL","PSR","",NA,"",33.14,-111.56,33.14,-111.56,0,3,"USD","LAIE 0.2 WNW",21.65,-157.9287,2.00627508249883,"KIWA","CHANDLER",33.3,-111.67,"AZ",20.5468844634877,1,"  2","  0",-1,1
"64","US1HIHN0002",2014-09-27,541009,"2300",2014-09-27,"0245","ARIZONA",4,"Heavy Rain",21,"PINAL","PSR","",NA,"",33.14,-111.62,33.14,-111.62,0,3,"USD","LAIE 0.2 WNW",21.65,-157.9287,2.66454289047301,"KIWA","CHANDLER",33.3,-111.67,"AZ",18.4097109359287,3,"  0","  0",3,3
"65","US1HIKI0007",2014-08-04,539423,"2000",2014-08-04,"2230","ARIZONA",4,"Heavy Rain",1,"APACHE","FGZ","",NA,"",34.5434,-109.37,34.4566,-109.37,0,3,"USD","PRINCEVILLE 2.4 SE",22.1996,-159.458,2.66648552223787,"KSJN","ST. JOHNS AIR PARK",34.52,-109.38,"AZ",2.7615911952146,0,"  2","  3",-2,-3
"66","US1HIMI0001",2014-06-19,514095,"2045",2014-06-19,"2130","IOWA",19,"Heavy Rain",73,"GREENE","DMX","",NA,"",42.01,-94.38,42.01,-94.38,0,3,"USD","HAIKU 3.2 SE",20.8761,-156.3047,3.89696464234586,"KCIN","CARROLL",42.05,-94.78,"IA",33.3733498897263,1,"  0","  0",1,1
"67","US1HIMI0001",2014-08-28,541694,"0100",2014-08-28,"0100","KANSAS",20,"Heavy Rain",81,"HASKELL","DDC","",NA,"",37.59,-100.98,37.59,-100.98,0,3,"USD","HAIKU 3.2 SE",20.8761,-156.3047,3.49647784839796,"KGCK","GARDEN CITY",37.93,-100.72,"KS",44.227759980385,0,"  1","  2",-1,-2
"68","US1IAAP0004",2014-06-19,514093,"1930",2014-06-19,"2130","IOWA",19,"Heavy Rain",147,"PALO ALTO","DMX","",NA,"",43.24,-94.75,43.24,-94.75,0,3,"USD","CENTERVILLE 0.7 NW",40.7368,-92.8852,0.538663134493672,"KEST","ESTHERVILLE",43.4,-94.75,"IA",17.8111185269234,0,"  1","  0",-1,0
"69","US1IAAP0004",2014-08-18,542030,"0000",2014-08-19,"0000","ARIZONA",4,"Heavy Rain",25,"YAVAPAI","FGZ","",NA,"",34.0698,-112.1471,34.77,-112.05,0,3,"USD","CENTERVILLE 0.7 NW",40.7368,-92.8852,0.564403775548428,"KDVT","DEER VLY/PHOENIX",33.69,-112.07,"AZ",42.8753721016207,0,"  0","  0",0,0
"70","US1IAAP0004",2014-09-01,531740,"1200",2014-09-01,"1200","IOWA",19,"Heavy Rain",25,"CALHOUN","DMX","",NA,"",42.4,-94.63,42.4,-94.63,0,3,"USD","CENTERVILLE 0.7 NW",40.7368,-92.8852,11.0161197905627,"KFOD","FT DODGE",42.55,-94.18,"IA",40.5456787490286,3,"  1","  1",2,2
"71","US1IABN0005",2014-06-19,514041,"1920",2014-06-19,"1950","IOWA",19,"Heavy Rain",179,"WAPELLO","DMX","",NA,"",41.02,-92.42,41.02,-92.42,0,3,"USD","BOONE 4.5 NW",42.0913,-93.9498,13.3868809525659,"KOTM","OTTUMWA",41.1,-92.45,"IA",9.25472392211174,0,"  0","  0",0,0
"72","US1IABN0009",2014-10-14,539574,"1300",2014-10-14,"1300","IOWA",19,"Heavy Rain",123,"MAHASKA","DMX","",NA,"",41.32,-92.65,41.32,-92.65,0,3,"USD","MADRID 0.4 SE",41.872,-93.813,11.0475750376727,"KPEA","PELLA MUNI AP",41.4,-92.95,"IA",26.6009909632819,5,"  4","  3",1,2
"73","US1IACF0002",2014-09-09,542176,"1800",2014-09-10,"1200","NEBRASKA",31,"Heavy Rain",143,"POLK","GID","",NA,"",41.18,-97.55,41.18,-97.55,0,3,"USD","SCHLESWIG 0.4 NE",42.1655,-95.4287,0.620887528311685,"KJYR","YORK MUNICIPAL ARPT",40.9,-97.62,"NE",31.7187436441659,3,"  0","  1",3,2
"74","US1IACL0003",2014-06-19,514094,"2015",2014-06-19,"2115","IOWA",19,"Heavy Rain",161,"SAC","DMX","",NA,"",42.3,-95.02,42.3,-95.02,0,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,0.191984341625927,"KCIN","CARROLL",42.05,-94.78,"IA",34.1544460984006,0,"  0","  0",0,0
"75","US1IACL0003",2014-07-25,522431,"0830",2014-07-25,"0830","IOWA",19,"Heavy Rain",63,"EMMET","DMX","",NA,"",43.31,-94.46,43.31,-94.46,0,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,0.191984341625927,"KEST","ESTHERVILLE",43.4,-94.75,"IA",25.5218382913754,2,"  0","  0",2,2
"76","US1IACL0003",2014-08-01,540735,"0701",2014-08-31,"0800","IDAHO",16,"Heavy Rain",65,"MADISON","PIH","",NA,"",43.82,-111.67,43.73,-111.82,2000,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,6.83525112387405,"KRXE","REXBURG",43.83,-111.81,"ID",11.2987002499404,0,"  1","  1",-1,-1
"77","US1IACL0003",2014-08-22,536564,"0143",2014-08-23,"0143","MONTANA",30,"Heavy Rain",27,"FERGUS","TFX","",NA,"",47.02,-108.98,47.02,-108.98,0,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,0.191984341625927,"KLWT","LEWISTOWN",47.05,-109.45,"MT",35.8148682770034,4,"  4","  1",0,3
"78","US1IACL0003",2014-09-01,531760,"1200",2014-09-01,"1200","IOWA",19,"Heavy Rain",83,"HARDIN","DMX","",NA,"",42.36,-93.1,42.36,-93.1,0,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,5.44256162078733,"KMIW","MARSHALLTOWN ARPT",42.11,-92.92,"IA",31.5372341030476,4,"  1","  1",3,3
"79","US1IACL0003",2014-09-08,543460,"1000",2014-09-09,"1200","VIRGINIA",51,"Heavy Rain",199,"YORK","AKQ","",NA,"",37.2,-76.43,37.2,-76.43,0,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,0.92352733114896,"KPHF","NEWPORT NEWS",37.13,-76.5,"VA",9.96401780566496,0,"  3","  1",-3,-1
"80","US1IACL0003",2014-09-26,537305,"2100",2014-09-26,"2200","FLORIDA",12,"Heavy Rain",105,"POLK","TBW","",NA,"",28.01,-82.52,28.01,-82.52,5,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,6.83525112387405,"KTPA","TAMPA",27.97,-82.53,"FL",4.55998945683688,0,"  1","  3",-1,-3
"81","US1IACL0003",2014-10-19,542491,"0242",2014-10-19,"0541","HAWAII",15,"Heavy Rain",7,"KAUAI","HFO","",NA,"",22.1319,-159.3402,21.8467,-160.2136,0,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,0.92352733114896,"PHLI","LIHUE",21.98,-159.35,"HI",16.9396326782228,0,"  6","  1",-6,-1
"82","US1IACL0003",2014-12-03,551365,"1713",2014-12-03,"1713","CALIFORNIA",6,"Heavy Rain",75,"SAN FRANCISCO","MTR","",NA,"",37.7886,-122.3892,37.7886,-122.3892,0,3,"USD","MURRAY 0.5 N",41.0483,-93.9496,4.05020335567592,"KOAK","OAKLAND",37.72,-122.22,"CA",16.7358066326618,0,"  4","  5",-4,-5
