State Name,County Name,County FIPS,Year,Month,CropDmg,CropDmg(ADJ 2009),CropDmgPerCapita(ADJ 2009),PropertyDmg,PropertyDmg(ADJ 2009),PropertyDmgPerCapita(ADJ 2009),Injuries,InjuriesPerCapita,Fatalities,FatalitiesPerCapita,Duration_Days,Fatalities_Duration,Injuries_Duration,Property_Damage_Duration,Crop_Damage_Duration,Records
CALIFORNIA,Alameda,'06001',2012,3,0.00000,0.00000,0.00000,10000.00000,9344.19000,0.00600,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Contra Costa,'06013',2010,4,0.00000,0.00000,0.00000,10000.00000,9838.62000,0.00934,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Contra Costa,'06013',2011,6,50000.00000,47687.82000,0.04471,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,1
CALIFORNIA,Contra Costa,'06013',2012,3,0.00000,0.00000,0.00000,50000.00000,46720.95000,0.04329,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Humboldt,'06023',2016,12,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,6
CALIFORNIA,Inyo,'06027',2010,12,0.00000,0.00000,0.00000,20000.00000,19677.24000,1.06180,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Kern,'06029',2010,2,0.00000,0.00000,0.00000,50000.00000,49193.10000,0.05844,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Kern,'06029',2015,3,0.00000,0.00000,0.00000,10000.00000,9051.54000,0.01026,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
CALIFORNIA,Kings,'06031',2011,10,0.00000,0.00000,0.00000,100000.00000,95375.64000,0.62721,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Marin,'06041',2010,10,0.00000,0.00000,0.00000,15000.00000,14757.93000,0.05836,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Marin,'06041',2010,12,0.00000,0.00000,0.00000,25000.00000,24596.55000,0.09726,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Monterey,'06053',2011,1,0.00000,0.00000,0.00000,4000.00000,3815.03000,0.00905,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Napa,'06055',2010,10,0.00000,0.00000,0.00000,40000.00000,39354.48000,0.28762,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
CALIFORNIA,Napa,'06055',2010,12,0.00000,0.00000,0.00000,35000.00000,34435.17000,0.25167,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Napa,'06055',2012,3,0.00000,0.00000,0.00000,30000.00000,28032.57000,0.20148,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Orange,'06059',2010,1,0.00000,0.00000,0.00000,150000.00000,147579.29000,0.04890,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
CALIFORNIA,Plumas,'06063',2015,12,0.00000,0.00000,0.00000,1000.00000,905.15000,0.04917,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
CALIFORNIA,Riverside,'06065',2010,1,0.00000,0.00000,0.00000,100000.00000,98386.19000,0.04467,1.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.00000,1.00000,0.00000,1
CALIFORNIA,Riverside,'06065',2015,9,0.00000,0.00000,0.00000,10000.00000,9051.54000,0.00383,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,San Bernardino,'06071',2010,1,0.00000,0.00000,0.00000,75000.00000,73789.65000,0.03614,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,San Bernardino,'06071',2010,12,0.00000,0.00000,0.00000,5000.00000,4919.31000,0.00241,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,San Bernardino,'06071',2012,10,0.00000,0.00000,0.00000,50000.00000,46720.95000,0.02245,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,San Bernardino,'06071',2015,1,0.00000,0.00000,0.00000,50000.00000,45257.72000,0.02127,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
CALIFORNIA,San Bernardino,'06071',2016,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,San Bernardino,'06071',2016,5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,San Francisco,'06075',2011,2,0.00000,0.00000,0.00000,10000.00000,9537.56000,0.01168,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,San Mateo,'06081',2012,3,0.00000,0.00000,0.00000,50000.00000,46720.95000,0.06307,5.00000,0.00001,0.00000,0.00000,3.00000,0.00000,3.00000,3.00000,0.00000,1
CALIFORNIA,Santa Cruz,'06087',2011,1,0.00000,0.00000,0.00000,30000.00000,28612.70000,0.10800,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,2
CALIFORNIA,Santa Cruz,'06087',2011,2,0.00000,0.00000,0.00000,20000.00000,19075.13000,0.07200,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Santa Cruz,'06087',2011,3,0.00000,0.00000,0.00000,10100000.00000,9632939.16000,36.36128,0.00000,0.00000,0.00000,0.00000,4.00000,0.00000,0.00000,4.00000,0.00000,3
CALIFORNIA,Santa Cruz,'06087',2012,3,0.00000,0.00000,0.00000,228500.00000,213514.76000,0.80078,3.00000,0.00001,3.00000,0.00001,1.00000,1.00000,1.00000,1.00000,0.00000,5
CALIFORNIA,Sonoma,'06097',2011,2,0.00000,0.00000,0.00000,25000.00000,23843.91000,0.04889,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Sonoma,'06097',2011,3,0.00000,0.00000,0.00000,28500.00000,27182.06000,0.05573,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Sonoma,'06097',2011,6,20000000.00000,19075127.04000,39.11066,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,1.00000,1
CALIFORNIA,Sonoma,'06097',2012,12,0.00000,0.00000,0.00000,30000.00000,28032.57000,0.05711,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Sonoma,'06097',2015,2,0.00000,0.00000,0.00000,25000.00000,22628.86000,0.04506,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
CALIFORNIA,Tulare,'06107',2010,3,0.00000,0.00000,0.00000,5000.00000,4919.31000,0.01110,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
COLORADO,Archuleta,'08007',2010,8,0.00000,0.00000,0.00000,20000.00000,19677.24000,1.63094,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
COLORADO,Mesa,'08077',2012,7,0.00000,0.00000,0.00000,10000.00000,9344.19000,0.06325,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
COLORADO,San Miguel,'08113',2010,7,0.00000,0.00000,0.00000,500.00000,491.93000,0.06687,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
COLORADO,Summit,'08117',2011,7,0.00000,0.00000,0.00000,5000.00000,4768.78000,0.17056,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Broward,'12011',2012,4,0.00000,0.00000,0.00000,10000.00000,9344.19000,0.00513,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Citrus,'12017',2010,3,0.00000,0.00000,0.00000,2000.00000,1967.72000,0.01393,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Lake,'12069',2013,6,0.00000,0.00000,0.00000,10000.00000,9209.30000,0.02989,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Leon,'12073',2011,12,0.00000,0.00000,0.00000,35000.00000,33381.47000,0.11994,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Pasco,'12101',2010,3,0.00000,0.00000,0.00000,2000.00000,1967.72000,0.00423,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Pasco,'12101',2015,8,0.00000,0.00000,0.00000,75000.00000,67886.59000,0.13634,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
FLORIDA,Pinellas,'12103',2012,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,2.00000,2.00000,0.00000,0.00000,0.00000,2
