State Name,County Name,County FIPS,Year,Month,CropDmg,CropDmg(ADJ 2009),CropDmgPerCapita(ADJ 2009),PropertyDmg,PropertyDmg(ADJ 2009),PropertyDmgPerCapita(ADJ 2009),Injuries,InjuriesPerCapita,Fatalities,FatalitiesPerCapita,Duration_Days,Fatalities_Duration,Injuries_Duration,Property_Damage_Duration,Crop_Damage_Duration,Records
INDIANA,Gibson,'18051',2012,9,0.00000,0.00000,0.00000,10000.00000,9344.19000,0.27851,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
INDIANA,Vanderburgh,'18163',2010,7,0.00000,0.00000,0.00000,7000.00000,6887.03000,0.03831,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
INDIANA,Vanderburgh,'18163',2013,10,0.00000,0.00000,0.00000,10000.00000,9209.30000,0.05073,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
INDIANA,Vigo,'18167',2010,4,500.00000,491.93000,0.00456,500.00000,491.93000,0.00456,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,1.00000,1
INDIANA,Wayne,'18177',2011,4,0.00000,0.00000,0.00000,21000.00000,20028.89000,0.29102,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,2
IOWA,Black Hawk,'19013',2010,6,0.00000,0.00000,0.00000,5000.00000,4919.31000,0.03751,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
IOWA,Black Hawk,'19013',2010,7,0.00000,0.00000,0.00000,100000.00000,98386.19000,0.75013,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
IOWA,Calhoun,'19025',2010,6,0.00000,0.00000,0.00000,50000.00000,49193.10000,4.84089,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
IOWA,Carroll,'19027',2010,6,0.00000,0.00000,0.00000,10000.00000,9838.62000,0.47237,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
IOWA,Davis,'19051',2013,4,0.00000,0.00000,0.00000,10000.00000,9209.30000,1.05009,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
IOWA,Humboldt,'19091',2010,6,0.00000,0.00000,0.00000,10000.00000,9838.62000,1.00384,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
IOWA,Polk,'19153',2010,6,0.00000,0.00000,0.00000,100000.00000,98386.19000,0.22762,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
IOWA,Story,'19169',2010,6,0.00000,0.00000,0.00000,1000.00000,983.86000,0.01098,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
IOWA,Warren,'19181',2011,6,0.00000,0.00000,0.00000,10000.00000,9537.56000,0.20439,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
IOWA,Webster,'19187',2010,6,0.00000,0.00000,0.00000,100000.00000,98386.19000,2.59834,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,2.00000,0.00000,1
KANSAS,Butler,'20015',2010,4,0.00000,0.00000,0.00000,20000.00000,19677.24000,0.29851,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KANSAS,Gove,'20063',2010,5,0.00000,0.00000,0.00000,9000.00000,8854.76000,3.30032,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KANSAS,Osborne,'20141',2016,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KANSAS,Reno,'20155',2010,8,0.00000,0.00000,0.00000,5000.00000,4919.31000,0.07620,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KANSAS,Rooks,'20163',2014,8,0.00000,0.00000,0.00000,15000.00000,13593.43000,2.63694,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KENTUCKY,Calloway,'21035',2014,5,0.00000,0.00000,0.00000,8000.00000,7249.83000,0.18938,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KENTUCKY,Carter,'21043',2014,4,0.00000,0.00000,0.00000,12000.00000,10874.75000,0.39947,0.00000,0.00000,1.00000,0.00004,1.00000,1.00000,0.00000,1.00000,0.00000,1
KENTUCKY,Estill,'21065',2011,6,0.00000,0.00000,0.00000,5000.00000,4768.78000,0.32583,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KENTUCKY,Gallatin,'21077',2011,4,0.00000,0.00000,0.00000,1000.00000,953.76000,0.11121,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KENTUCKY,Grant,'21081',2011,4,0.00000,0.00000,0.00000,1000.00000,953.76000,0.03859,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KENTUCKY,Knox,'21121',2012,3,0.00000,0.00000,0.00000,20000.00000,18688.38000,0.58954,6.00000,0.00019,0.00000,0.00000,1.00000,0.00000,1.00000,1.00000,0.00000,1
KENTUCKY,Lawrence,'21127',2016,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KENTUCKY,Lewis,'21135',2011,5,0.00000,0.00000,0.00000,1000.00000,953.76000,0.06879,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KENTUCKY,McCracken,'21145',2013,1,0.00000,0.00000,0.00000,5000.00000,4604.65000,0.07043,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,1.00000,0.00000,1
KENTUCKY,Morgan,'21175',2013,8,1000.00000,920.93000,0.06899,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,2.00000,1
