"","EVENTS.begin_date","EVENTS.begin_time_UTC","EVENTS.end_date","EVENTS.end_time_UTC","EVENTS.ID","EVENTS.state","EVENTS.fips","EVENTS.type","EVENTS.czfips","EVENTS.czname","EVENTS.WFO","EVENTS.flood_cause","EVENTS.hurricane_category","EVENTS.tornado_F_scale","EVENTS.begin_lat","EVENTS.begin_lon","EVENTS.end_lat","EVENTS.end_lon","EVENTS.damage_value","EVENTS.damage_magnitude","EVENTS.damage_unit","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","GHCND.prcp_cat","NA","NA","MOS.ICAO","MOS.name","MOS.lat","MOS.lon","MOS.st","MOS.dist_from_event.km"
"16",NA,2015-12-17,NA,"0100",2015-12-18,"2200","OREGON",41,"Heavy Rain",41,"LINCOLN","PQR","",NA,"",44.9011,-124.02,43.8989,-124.0386,1240,3,"USD","QUINCY 2.3 E",39.9384,-120.905,2.08993524879713,"KONP","NEWPORT",44.58,-124.05,"OR",35.8233110218251,0,"  2","  3",0,0,0,0,0,0
"17",NA,2015-12-27,NA,"1645",2015-12-27,"1945","KENTUCKY",21,"Heavy Rain",15,"BOONE","ILN","",NA,"",38.9699,-84.6611,38.9699,-84.6611,0,3,"USD","CAZADERO 5.6 W",38.5319,-123.1886,7.74043659691214,"KCVG","COVINGTON",39.05,-84.67,"KY",8.94986266222418,0,"  4","  4",0,0,0,0,0,0
"18",NA,2015-12-12,NA,"1300",2015-12-13,"1300","IOWA",19,"Heavy Rain",17,"BREMER","DMX","",NA,"",42.64,-92.46,42.64,-92.46,0,3,"USD","TWAIN HARTE 1.6 SW",38.0239,-120.2533,4.27224686868829,"KALO","WATERLOO",42.55,-92.4,"IA",11.1602615147088,4,"  0","  0",0,0,0,0,0,0
"19",NA,2015-06-06,NA,"2300",2015-06-06,"0100","UTAH",49,"Heavy Rain",37,"SAN JUAN","GJT","",NA,"",38.2112,-109.8344,38.1805,-109.7939,0,3,"USD","HOTCHKISS 7.1 WNW",38.8578,-107.8283,4.92944869467746,"KCNY","MOAB",38.77,-109.75,"UT",62.6384954114975,2,"  2","  0",0,0,0,0,0,0
"20",NA,2015-07-13,NA,"0115",2015-07-13,"0315","WISCONSIN",55,"Heavy Rain",9,"BROWN","GRB","",NA,"",44.5116,-88.0165,44.5116,-88.0165,0,3,"USD","DURANGO 12.9 S",37.0999,-107.8594,6.26230790668444,"KGRB","GREEN BAY",44.48,-88.13,"WI",9.6745800135531,1,"  1","  4",0,0,0,0,0,0
"21",NA,2015-07-06,NA,"0130",2015-07-06,"0330","ARIZONA",4,"Heavy Rain",13,"MARICOPA","PSR","",NA,"",33.75,-112.54,33.75,-112.54,0,3,"USD","BRUSH 0.3 E",40.2565,-103.6273,3.18901144817065,"KLUF","LUKE AFB",33.55,-112.37,"AZ",27.2735684072476,0,"  1","  0",0,0,0,0,0,0
"22",NA,2015-08-27,NA,"0530",2015-08-28,"1853","IOWA",19,"Heavy Rain",169,"STORY","DMX","",NA,"",42.19,-93.6,42.19,-93.6,0,3,"USD","SOUTH MIAMI 0.9 SSE",25.6957,-80.2893,3.28152085191863,"KAMW","AMES_MUNI ARPT",41.99,-93.62,"IA",22.3251176179012,4,"  0","  0",0,0,0,0,0,0
"23",NA,2015-09-06,NA,"0130",2015-09-06,"0500","IOWA",19,"Heavy Rain",49,"DALLAS","DMX","",NA,"",41.81,-94.22,41.81,-94.22,0,3,"USD","ST. MARYS 3.4 NNE",30.8063,-81.5595,6.34013029194379,"KBNW","BOONE_MUNI",42.05,-93.85,"IA",40.6538405358988,0,"  0","  1",0,0,0,0,0,0
"24",NA,2015-03-04,NA,"1500",2015-03-04,"2100","KENTUCKY",21,"Heavy Rain",35,"CALLOWAY","PAH","",NA,"",36.62,-88.32,36.62,-88.32,0,3,"USD","OOKALA 2.8 S",19.9777,-155.2831,1.73955840070408,"KPAH","PADUCAH",37.07,-88.77,"KY",64.1592891731062,3,"  3","  5",0,0,0,0,0,0
"25",NA,2015-12-28,NA,"1546",2015-12-28,"1546","MISSOURI",29,"Heavy Rain",43,"CHRISTIAN","SGF","",NA,"",37,-93.14,37,-93.14,0,3,"USD","OOKALA 2.8 S",19.9777,-155.2831,1.15656083030362,"KSGF","SPRINGFIELD",37.23,-93.38,"MO",33.3079760605906,2,"  6","  6",0,0,0,0,0,0
"26",NA,2015-09-05,NA,"0519",2015-09-05,"0556","SOUTH CAROLINA",45,"Heavy Rain",63,"LEXINGTON","CAE","",NA,"",33.94,-81.12,33.94,-81.12,0,3,"USD","KALAOA 1.7 E",19.7238,-155.9926,3.4099024967745,"KCAE","COLUMBIA",33.95,-81.12,"SC",1.11319490793337,1,"  0","  0",0,0,0,0,0,0
"27",NA,2015-09-06,NA,"2330",2015-09-07,"0600","IOWA",19,"Heavy Rain",27,"CARROLL","DMX","",NA,"",42.07,-94.86,42.07,-94.86,0,3,"USD","KALAOA 1.7 E",19.7238,-155.9926,5.00122636607611,"KCIN","CARROLL",42.05,-94.78,"IA",6.97665512696412,6,"  0","  4",0,0,0,0,0,0
"28",NA,2015-12-13,NA,"0900",2015-12-14,"1500","WISCONSIN",55,"Heavy Rain",57,"JUNEAU","ARX","",NA,"",43.92,-90.27,43.92,-90.27,0,3,"USD","HONOMU 2.8 SW",19.8494,-155.15,3.49287754679148,"KVOK","CAMP DOUGLAS",43.93,-90.27,"WI",1.11319490793267,3,"  0","  2",0,0,0,0,0,0
"29",NA,2015-09-06,NA,"0130",2015-09-07,"1000","IOWA",19,"Heavy Rain",49,"DALLAS","DMX","",NA,"",41.84,-94.1,41.84,-94.1,0,3,"USD","KALAOA 2.2 ESE",19.7189,-155.9859,1.23726046183898,"KBNW","BOONE_MUNI",42.05,-93.85,"IA",31.2242774888208,6,"  0","  1",0,0,0,0,0,0
"30",NA,2015-09-06,NA,"0130",2015-09-07,"1000","IOWA",19,"Heavy Rain",49,"DALLAS","DMX","",NA,"",41.84,-94.1,41.84,-94.1,0,3,"USD","KALAOA 2.2 ESE",19.7189,-155.9859,1.23726046183898,"KBNW","BOONE_MUNI",42.05,-93.85,"IA",31.2242774888208,6,"  0","  1",0,0,0,0,0,0
