CBSA.code,CBSA.title,CBSA.pop,CBSA.land_area,CBSA.pop_den,CBSA.category
42900,"Seneca Falls, NY",35251,323.7,108.9,uSA
42940,"Sevierville, TN",89889,592.5,151.7,uSA
42980,"Seymour, IN",42376,509.3,83.2,uSA
43060,"Shawnee, OK",69442,787.7,88.2,uSA
43140,"Shelby, NC",98078,464.3,211.3,uSA
43180,"Shelbyville, TN",45058,473.6,95.1,uSA
43220,"Shelton, WA",60699,959.4,63.3,uSA
43260,"Sheridan, WY",29116,2524,11.5,uSA
43320,"Show Low, AZ",107449,9950.4,10.8,uSA
43380,"Sidney, OH",49423,407.7,121.2,uSA
43420,"Sierra Vista-Douglas, AZ",131346,6165.7,21.3,uSA
43460,"Sikeston, MO",39191,420,93.3,uSA
43500,"Silver City, NM",29514,3961.6,7.4,uSA
43540,"Silverthorne, CO",27994,608.4,46,uSA
43660,"Snyder, TX",16921,905.4,18.7,uSA
43700,"Somerset, KY",63063,658.4,95.8,uSA
43740,"Somerset, PA",77742,1074.4,72.4,uSA
43860,"Southern Pines-Pinehurst, NC",88247,697.8,126.5,uSA
43940,"Spearfish, SD",24097,800,30.1,uSA
43980,"Spencer, IA",16667,567.2,29.4,uSA
44020,"Spirit Lake, IA",16667,380.6,43.8,uSA
44260,"Starkville, MS",47671,458.2,104,uSA
44340,"Statesboro, GA",70217,672.8,104.4,uSA
44380,"Statesville-Mooresville, NC",159437,573.8,277.8,uSA
44420,"Staunton-Waynesboro, VA",118502,1002,118.3,uSA
44500,"Stephenville, TX",37890,1083.1,35,uSA
44540,"Sterling, CO",22709,1838.5,12.4,uSA
44580,"Sterling, IL",58498,684.2,85.5,uSA
44620,"Stevens Point, WI",70019,800.7,87.4,uSA
44660,"Stillwater, OK",77350,684.7,113,uSA
44740,"Storm Lake, IA",20260,574.9,35.2,uSA
44780,"Sturgis, MI",61295,500.6,122.4,uSA
44860,"Sulphur Springs, TX",35161,767.2,45.8,uSA
44900,"Summerville, GA",26015,313.3,83,uSA
44980,"Sunbury, PA",94528,458.4,206.2,uSA
45000,"Susanville, CA",34895,4541.2,7.7,uSA
45020,"Sweetwater, TX",15216,912,16.7,uSA
45140,"Tahlequah, OK",46987,749.4,62.7,uSA
45180,"Talladega-Sylacauga, AL",82291,736.8,111.7,uSA
45260,"Tallulah, LA",12093,624.4,19.4,uSA
45340,"Taos, NM",32937,2203.1,15,uSA
45380,"Taylorville, IL",34800,709.4,49.1,uSA
45520,"The Dalles, OR",25213,2381.5,10.6,uSA
45540,"The Villages, FL",93420,546.9,170.8,uSA
45580,"Thomaston, GA",27153,323.4,84,uSA
45620,"Thomasville, GA",44720,544.6,82.1,uSA
45640,"Thomasville-Lexington, NC",162878,552.7,294.7,uSA
45660,"Tiffin, OH",56745,551,103,uSA
45700,"Tifton, GA",40118,258.9,154.9,uSA
45740,"Toccoa, GA",26175,179.1,146.1,uSA
45860,"Torrington, CT",189927,920.6,206.3,uSA
45900,"Traverse City, MI",143372,1691.1,84.8,uSA
45980,"Troy, AL",32899,672.1,48.9,uSA
46020,"Truckee-Grass Valley, CA",98764,957.8,103.1,uSA
46100,"Tullahoma, TN",100210,1112.7,90.1,uSA
46180,"Tupelo, MS",136268,1480.4,92,uSA
46260,"Tuskegee, AL",21452,608.9,35.2,uSA
46300,"Twin Falls, ID",99604,2518.4,39.6,uSA
46380,"Ukiah, CA",87841,3506.3,25.1,uSA
46420,"Union, SC",28961,514.2,56.3,uSA
46460,"Union City, TN-KY",38620,750.2,51.5,uSA
46500,"Urbana, OH",40097,428.7,93.5,uSA
46620,"Uvalde, TX",26405,1551.9,17,uSA
46740,"Valley, AL",34215,596.5,57.4,uSA
46780,"Van Wert, OH",28744,409.2,70.3,uSA
46820,"Vermillion, SD",13864,412.2,33.6,uSA
46860,"Vernal, UT",32588,4479.7,7.3,uSA
46900,"Vernon, TX",13535,970.8,13.9,uSA
46980,"Vicksburg, MS",48773,588.5,82.9,uSA
47080,"Vidalia, GA",36346,603.5,60.2,uSA
47180,"Vincennes, IN",38440,516,74.5,uSA
47340,"Wabash, IN",32888,412.4,79.7,uSA
47420,"Wahpeton, ND-MN",22897,2186.7,10.5,uSA
47460,"Walla Walla, WA",58781,1270.1,46.3,uSA
47500,"Walterboro, SC",38892,1056.5,36.8,uSA
47540,"Wapakoneta, OH",45949,401.4,114.5,uSA
47620,"Warren, PA",41815,884.1,47.3,uSA
47660,"Warrensburg, MO",52595,829.3,63.4,uSA
47700,"Warsaw, IN",77358,531.4,145.6,uSA
47780,"Washington, IN",31648,429.5,73.7,uSA
47820,"Washington, NC",47759,827.2,57.7,uSA
47920,"Washington Court House, OH",29030,406.4,71.4,uSA
47980,"Watertown, SD",33130,1195.7,27.7,uSA
48020,"Watertown-Fort Atkinson, WI",83686,556.5,150.4,uSA
48060,"Watertown-Fort Drum, NY",116229,1268.6,91.6,uSA
48100,"Wauchula, FL",27731,637.8,43.5,uSA
48180,"Waycross, GA",55070,1209,45.6,uSA
48220,"Weatherford, OK",27469,988.8,27.8,uSA
48460,"West Plains, MO",40400,927.2,43.6,uSA
48500,"West Point, MS",20634,410.1,50.3,uSA
48580,"Whitewater, WI",102228,555.1,184.2,uSA
48740,"Willimantic, CT",118428,512.9,230.9,uSA
48780,"Williston, ND",22398,2077.4,10.8,uSA
48820,"Willmar, MN",42239,796.8,53,uSA
48940,"Wilmington, OH",42040,408.7,102.9,uSA
48980,"Wilson, NC",81234,368.2,220.6,uSA
49060,"Winfield, KS",36311,1125.8,32.3,uSA
49100,"Winona, MN",51461,626.2,82.2,uSA
49260,"Woodward, OK",20081,1242.4,16.2,uSA
49300,"Wooster, OH",114520,554.9,206.4,uSA
49380,"Worthington, MN",21378,715.1,29.9,uSA
49460,"Yankton, SD",22438,521.2,43.1,uSA
49540,"Yazoo City, MS",28065,922.9,30.4,uSA
49780,"Zanesville, OH",86074,664.6,129.5,uSA
