"","GHCND.ID","EVENTS.begin_date","EVENTS.ID","EVENTS.fips","EVENTS.begin_lat","EVENTS.begin_lon"
"161","USC00020159",2011-06-20,317123,21,36.5889,-83.6867
"162","USC00020750",2011-09-24,343640,17,37.75,-89.08
"163","USC00026601",2011-05-24,313685,20,39.82,-98.55
"164","USC00027480",2011-07-28,332452,19,42.4031,-90.7092
"165","USC00030458",2011-08-01,318309,27,44.999,-93.2837
"166","USC00030460",2011-08-01,318306,27,44.77,-94.15
"167","USC00030460",2011-09-05,349596,28,31.5777,-90.4436
"168","USC00031492",2011-09-03,330319,19,42.7,-92.22
"169","USC00031829",2011-09-29,340008,48,26.9075,-99.272
"170","USC00031838",2011-08-12,339651,17,42.29,-89.63
"171","USC00032366",2011-08-08,331675,19,41.97,-91.58
"172","USC00033438",2011-02-19,274168,6,36.169,-116.7696
"173","USC00034060",2011-08-01,338699,4,34.32,-111.13
"174","USC00034572",2011-04-04,296535,21,36.6,-88.07
"175","USC00034756",2011-10-18,349474,12,29.6267,-84.943
"176","USC00034938",2011-09-25,345418,18,37.95,-87.42
"177","USC00035591",2011-09-25,345424,21,37.83,-87.58
"178","USC00042239",2011-10-05,351531,16,46.15,-115.6
"179","USC00044176",2011-06-24,319611,31,40.87,-98
"180","USC00047414",2011-07-28,332413,19,42.52,-90.76
"181","USC00051620",2011-02-28,276153,21,37.18,-83.42
"182","USC00052342",2011-11-01,350477,5,34.69,-92.45
"183","USC00080211",2011-07-18,338828,8,39.895,-106.05
"184","USC00080211",2011-08-23,339662,19,41.97,-91.58
"185","USC00080211",2011-10-10,348029,13,30.8355,-83.8019
"186","USC00080211",2011-10-18,346704,15,21.6639,-157.945
"187","USC00083909",2011-12-11,353569,15,21.6909,-157.9834
"188","USC00085275",2011-07-12,326224,21,37.3709,-82.9285
"189","USC00085275",2011-07-24,317995,21,37.7,-86.02
"190","USC00085275",2011-08-03,323705,56,41.2016,-104.9152
"191","USC00086842",2011-10-07,344969,31,40.9993,-98.8893
"192","USC00089566",2011-08-02,341063,55,45.35,-90.22
"193","USC00090670",2011-10-06,351519,30,45.83,-113.97
"194","USC00090670",2011-12-11,351385,12,30.46,-84.35
"195","USC00094204",2011-06-04,308612,15,21.4826,-158.0493
